prompt,tier,has_context
"Given this resume, design a step-by-step remediation plan and justify each step.",3,0
"Given this survey data, design a step-by-step remediation plan and justify each step.",3,1
"Given the incident report, design a step-by-step remediation plan and justify each step.",3,0
"Given this legal memo, design a step-by-step remediation plan and justify each step.",3,1
Critique the Q3 sales report and propose three alternative approaches with pros and cons.,3,0
Critique the attached invoice and propose three alternative approaches with pros and cons.,3,1
Critique our onboarding docs and propose three alternative approaches with pros and cons.,3,0
Critique the meeting transcript and propose three alternative approaches with pros and cons.,3,1
Critique this product spec and propose three alternative approaches with pros and cons.,3,0
Critique this resume and propose three alternative approaches with pros and cons.,3,1
Critique the contract clause and propose three alternative approaches with pros and cons.,3,0
Critique the incident report and propose three alternative approaches with pros and cons.,3,1
Critique our pricing page and propose three alternative approaches with pros and cons.,3,0
Write a short creative story inspired by the themes in the Q3 sales report.,3,1
Write a short creative story inspired by the themes in this customer email.,3,0
Write a short creative story inspired by the themes in our onboarding docs.,3,1
Write a short creative story inspired by the themes in this support ticket.,3,0
Write a short creative story inspired by the themes in this product spec.,3,1
Write a short creative story inspired by the themes in the API changelog.,3,0
Write a short creative story inspired by the themes in the contract clause.,3,1
Write a short creative story inspired by the themes in this survey data.,3,0
Write a short creative story inspired by the themes in our pricing page.,3,1
Write a short creative story inspired by the themes in this legal memo.,3,0
Evaluate this customer email against our compliance requirements and explain your reasoning.,3,1
Evaluate the attached invoice against our compliance requirements and explain your reasoning.,3,0
Evaluate this support ticket against our compliance requirements and explain your reasoning.,3,1
Evaluate the meeting transcript against our compliance requirements and explain your reasoning.,3,0
Evaluate the API changelog against our compliance requirements and explain your reasoning.,3,1
Evaluate this resume against our compliance requirements and explain your reasoning.,3,0
Evaluate this survey data against our compliance requirements and explain your reasoning.,3,1
Evaluate the incident report against our compliance requirements and explain your reasoning.,3,0
Evaluate this legal memo against our compliance requirements and explain your reasoning.,3,1
"Given the Q3 sales report, brainstorm five innovative solutions and rank them by feasibility.",3,0
"Given the attached invoice, brainstorm five innovative solutions and rank them by feasibility.",3,1
"Given our onboarding docs, brainstorm five innovative solutions and rank them by feasibility.",3,0
"Given the meeting transcript, brainstorm five innovative solutions and rank them by feasibility.",3,1
"Given this product spec, brainstorm five innovative solutions and rank them by feasibility.",3,0
"Given this resume, brainstorm five innovative solutions and rank them by feasibility.",3,1
"Given the contract clause, brainstorm five innovative solutions and rank them by feasibility.",3,0
"Given the incident report, brainstorm five innovative solutions and rank them by feasibility.",3,1
"Given our pricing page, brainstorm five innovative solutions and rank them by feasibility.",3,0
Analyze the Q3 sales report for logical inconsistencies and explain why each one matters.,3,1
Analyze this customer email for logical inconsistencies and explain why each one matters.,3,0
Analyze our onboarding docs for logical inconsistencies and explain why each one matters.,3,1
Analyze this support ticket for logical inconsistencies and explain why each one matters.,3,0
Analyze this product spec for logical inconsistencies and explain why each one matters.,3,1
Analyze the API changelog for logical inconsistencies and explain why each one matters.,3,0
Analyze the contract clause for logical inconsistencies and explain why each one matters.,3,1
Analyze this survey data for logical inconsistencies and explain why each one matters.,3,0
Analyze our pricing page for logical inconsistencies and explain why each one matters.,3,1
Analyze this legal memo for logical inconsistencies and explain why each one matters.,3,0
"Given this customer email, architect a system design that addresses the underlying problem.",3,1
"Given the attached invoice, architect a system design that addresses the underlying problem.",3,0
"Given this support ticket, architect a system design that addresses the underlying problem.",3,1
"Given the meeting transcript, architect a system design that addresses the underlying problem.",3,0
"Given the API changelog, architect a system design that addresses the underlying problem.",3,1
"Given this resume, architect a system design that addresses the underlying problem.",3,0
"Given this survey data, architect a system design that addresses the underlying problem.",3,1
"Given the incident report, architect a system design that addresses the underlying problem.",3,0
"Given this legal memo, architect a system design that addresses the underlying problem.",3,1
"Debate both sides of the decision implied in the Q3 sales report, then give a recommendation.",3,0
"Debate both sides of the decision implied in the attached invoice, then give a recommendation.",3,1
"Debate both sides of the decision implied in our onboarding docs, then give a recommendation.",3,0
"Debate both sides of the decision implied in the meeting transcript, then give a recommendation.",3,1
"Debate both sides of the decision implied in this product spec, then give a recommendation.",3,0
"Debate both sides of the decision implied in this resume, then give a recommendation.",3,1
"Debate both sides of the decision implied in the contract clause, then give a recommendation.",3,0
"Debate both sides of the decision implied in the incident report, then give a recommendation.",3,1
"Debate both sides of the decision implied in our pricing page, then give a recommendation.",3,0
"Given the Q3 sales report, synthesize a strategy document with must-have and nice-to-have requirements.",3,1
"Given this customer email, synthesize a strategy document with must-have and nice-to-have requirements.",3,0
"Given our onboarding docs, synthesize a strategy document with must-have and nice-to-have requirements.",3,1
"Given this support ticket, synthesize a strategy document with must-have and nice-to-have requirements.",3,0
"Given this product spec, synthesize a strategy document with must-have and nice-to-have requirements.",3,1
"Given the API changelog, synthesize a strategy document with must-have and nice-to-have requirements.",3,0
